bench_complex_set_with_smaller	fee: 50521	calldata: 603637
bench_complex_check	fee: 60927	calldata: 654274, 5, 2
bench_complex_update_minimal_nested	fee: 94317	calldata: 5
bench_complex_set_with_smaller	fee: 50521	calldata: 550751
bench_complex_get	fee: 60824	calldata: 243573
bench_complex_get_minimal	fee: 60841	calldata: 197709795
bench_complex_update_minimal	fee: 94109	calldata: 692486563
bench_complex_set_with_smaller	fee: 50521	calldata: 636617
bench_complex_check	fee: 60924	calldata: 436660, 1, 8
bench_complex_update_minimal_nested	fee: 94317	calldata: 5
bench_complex_get	fee: 60824	calldata: 337071
bench_complex_set_with_smaller	fee: 50521	calldata: 401403
bench_complex_get_minimal	fee: 60841	calldata: 914959982
bench_complex_update_minimal	fee: 94109	calldata: 068737310
bench_complex_set_with_smaller	fee: 50521	calldata: 615435
bench_complex_check	fee: 60925	calldata: 006752, 2, 3
bench_complex_update_minimal_nested	fee: 94317	calldata: 7
bench_complex_get	fee: 60824	calldata: 551774
bench_complex_set_with_smaller	fee: 50521	calldata: 066016
bench_complex_get_minimal	fee: 60841	calldata: 385272737
bench_complex_update_minimal	fee: 94109	calldata: 306120238
bench_complex_set_with_smaller	fee: 50521	calldata: 037547
bench_complex_check	fee: 60925	calldata: 065154, 2, 4
bench_complex_update_minimal_nested	fee: 94317	calldata: 5
bench_complex_get	fee: 60824	calldata: 034141
bench_complex_set_with_smaller	fee: 50521	calldata: 014436
bench_complex_get_minimal	fee: 60841	calldata: 438610004
bench_complex_update_minimal	fee: 94109	calldata: 718392562
bench_complex_set_with_smaller	fee: 50521	calldata: 557206
bench_complex_check	fee: 60925	calldata: 477163, 2, 2
bench_complex_update_minimal_nested	fee: 94317	calldata: 2
bench_complex_get	fee: 60824	calldata: 056261
bench_complex_set_with_smaller	fee: 50521	calldata: 052105
bench_complex_get_minimal	fee: 60841	calldata: 309171851
bench_complex_update_minimal	fee: 94109	calldata: 713383645
bench_complex_set_with_smaller	fee: 50521	calldata: 275062
bench_complex_check	fee: 60924	calldata: 376021, 1, 6
bench_complex_update_minimal_nested	fee: 94317	calldata: 3
bench_complex_get	fee: 60824	calldata: 177726
bench_complex_set_with_smaller	fee: 50521	calldata: 113605
bench_complex_get_minimal	fee: 60841	calldata: 421692766
bench_complex_update_minimal	fee: 94109	calldata: 486885279
bench_complex_set_with_smaller	fee: 50521	calldata: 014213
bench_complex_check	fee: 60926	calldata: 030107, 3, 4
bench_complex_update_minimal_nested	fee: 94317	calldata: 8
bench_complex_get	fee: 60824	calldata: 323225
bench_complex_set_with_smaller	fee: 50521	calldata: 266674
bench_complex_get_minimal	fee: 60841	calldata: 716426729
